,public_key,bits,algorithm,time,memory_mb
83,367888838909,40,Pollard p-1,0.0651204640016658,0.0203781127929687
84,401552602007,40,Fermat,0.0003545189974829,0.000213623046875
85,401552602007,40,Lenstra,0.0190080089960247,0.0014457702636718
86,401552602007,40,Pollard Rho,0.0044194610018166,0.0003204345703125
87,401552602007,40,Pollard p-1,0.0016968179988907,0.0027847290039062
88,460344031729,40,Fermat,0.0286954600014723,0.000213623046875
89,460344031729,40,Lenstra,0.0498623739986214,0.0014495849609375
90,460344031729,40,Pollard Rho,0.0047537319987895,0.0003204345703125
91,460344031729,40,Pollard p-1,0.8798720050035627,0.0606575012207031
92,492914708423,40,Fermat,0.00601602900133,0.000213623046875
93,492914708423,40,Lenstra,0.5790374439966399,0.0015106201171875
94,492914708423,40,Pollard Rho,0.0064917100025922,0.0003204345703125
95,492914708423,40,Pollard p-1,0.0011331700006849,0.0016403198242187
96,527151042829,40,Fermat,0.0009531039977446,0.000213623046875
97,527151042829,40,Lenstra,0.0545622499994351,0.0015068054199218
98,527151042829,40,Pollard Rho,0.0057554279992473,0.0003204345703125
99,527151042829,40,Pollard p-1,0.0004738380011986,0.0013465881347656
100,629930281889,40,Fermat,0.0095735989962122,0.000213623046875
101,629930281889,40,Lenstra,0.3477998300004401,0.0015678405761718
102,629930281889,40,Pollard Rho,0.0101398429978871,0.0003204345703125
103,629930281889,40,Pollard p-1,0.0005405650008469,0.001495361328125
104,641616399707,40,Fermat,0.0409953769994899,0.000213623046875
105,641616399707,40,Lenstra,0.0238652499974705,0.0014801025390625
106,641616399707,40,Pollard Rho,0.002470710001944,0.0003204345703125
107,641616399707,40,Pollard p-1,0.000825581002573,0.001983642578125
108,651656533501,40,Fermat,0.0088809090011636,0.000213623046875
109,651656533501,40,Lenstra,1.23605782300001,0.0016021728515625
110,651656533501,40,Pollard Rho,0.009340381999209,0.0003204345703125
111,926213359459,40,Fermat,0.0032136790032382,0.000213623046875
112,926213359459,40,Lenstra,0.3115654280045419,0.0015716552734375
113,926213359459,40,Pollard Rho,0.0097664800050552,0.0003204345703125
114,926213359459,40,Pollard p-1,40.42882030100009,0.2855491638183594
115,929533740803,40,Fermat,0.0001624709984753,0.0002098083496093
116,929533740803,40,Lenstra,0.0281073769947397,0.0014152526855468
117,929533740803,40,Pollard Rho,0.0049397479961044,0.0003204345703125
118,929533740803,40,Pollard p-1,0.002087658001983,0.0033836364746093
119,6769463417767,44,Fermat,0.0711391259974334,0.000213623046875
120,6769463417767,44,Lenstra,0.5933977649983717,0.0015983581542968
121,6769463417767,44,Pollard Rho,0.0148819070018362,0.0003204345703125
122,6769463417767,44,Pollard p-1,0.8009305219966336,0.0609245300292968
123,7219662332587,44,Fermat,0.0905383080025785,0.000213623046875
124,7219662332587,44,Lenstra,2.372034807005548,0.0016288757324218
125,7219662332587,44,Pollard Rho,0.0064401689960504,0.0003204345703125
126,7219662332587,44,Pollard p-1,51.64471523900284,0.32379150390625
127,7649068005941,44,Fermat,0.2599368290029815,0.000213623046875
128,7649068005941,44,Lenstra,0.0310851219983305,0.0015983581542968
129,7649068005941,44,Pollard Rho,0.0076451560016721,0.0003204345703125
130,7649068005941,44,Pollard p-1,59.64079214099911,0.3406867980957031
131,7928959408477,44,Fermat,0.2421656750011607,0.000213623046875
132,7928959408477,44,Lenstra,2.385128984002222,0.0016288757324218
133,7928959408477,44,Pollard Rho,0.0141839689968037,0.0003204345703125
134,7928959408477,44,Pollard p-1,0.002219485999376,0.0027923583984375
135,8194558628651,44,Fermat,0.0048745519961812,0.000213623046875
136,8194558628651,44,Lenstra,0.0762828040024032,0.0015678405761718
137,8194558628651,44,Pollard Rho,0.0101296469947556,0.0003204345703125
138,8194558628651,44,Pollard p-1,0.0040089550020638,0.0035552978515625
139,8455429430081,44,Fermat,0.2684503709970158,0.000213623046875
140,8455429430081,44,Lenstra,0.1338856069996836,0.0015678405761718
141,8455429430081,44,Pollard Rho,0.012065930000972,0.0003204345703125
142,8455429430081,44,Pollard p-1,0.0003490239978418,0.0008773803710937
143,8843145759047,44,Fermat,0.0007370040038949,0.000213623046875
144,8843145759047,44,Lenstra,0.2197178509959485,0.0015983581542968
145,8843145759047,44,Pollard Rho,0.0201089149995823,0.0003204345703125
146,8908522453769,44,Fermat,0.0596028280051541,0.000213623046875
147,8908522453769,44,Lenstra,0.059215099994617,0.0015106201171875
148,8908522453769,44,Pollard Rho,0.0102330840018112,0.0003204345703125
149,8908522453769,44,Pollard p-1,0.0270996040053432,0.0119552612304687
150,11270984023499,44,Fermat,0.0114381399980629,0.000213623046875
151,11270984023499,44,Lenstra,2.6784126950005884,0.0016937255859375
152,11270984023499,44,Pollard Rho,0.009609877000912,0.0003204345703125
153,11270984023499,44,Pollard p-1,0.0173405750028905,0.0098037719726562
154,11652686667533,44,Fermat,0.1227836029938771,0.000213623046875
155,11652686667533,44,Lenstra,1.308680641996034,0.0016937255859375
156,11652686667533,44,Pollard Rho,0.0084390850024647,0.0003204345703125
157,11652686667533,44,Pollard p-1,16.950945651995426,0.2075347900390625
158,73286361392903,48,Fermat,0.0005867020008736,0.000213623046875
159,73286361392903,48,Lenstra,1.7027104459994007,0.0017242431640625
160,73286361392903,48,Pollard Rho,0.0241039370012003,0.0003204345703125
161,88694735235979,48,Fermat,0.1310312179994071,0.000213623046875
162,88694735235979,48,Lenstra,4.678623774001608,0.0017547607421875
163,88694735235979,48,Pollard Rho,0.0245741230028215,0.0003204345703125
164,88694735235979,48,Pollard p-1,0.0681841679979697,0.0217018127441406
165,110374662292987,48,Fermat,0.0010730610010796,0.000213623046875
166,110374662292987,48,Lenstra,1.3381141330028186,0.0017204284667968
167,110374662292987,48,Pollard Rho,0.0163642750048893,0.0003204345703125
168,110374662292987,48,Pollard p-1,6.768492230999982,0.1492729187011718
169,120685959081833,48,Fermat,0.0106528819960658,0.000213623046875
170,120685959081833,48,Lenstra,0.2693633259987109,0.0016899108886718
171,120685959081833,48,Pollard Rho,0.0046502519981004,0.0003204345703125
172,131150207718763,48,Fermat,0.4666742620029254,0.000213623046875
173,131150207718763,48,Lenstra,0.9397829309964436,0.0017204284667968
174,131150207718763,48,Pollard Rho,0.0063896580031723,0.0003204345703125
175,133911825431767,48,Fermat,0.523909851006465,0.000213623046875
176,133911825431767,48,Lenstra,0.0248422419972484,0.0015983581542968
177,133911825431767,48,Pollard Rho,0.014041469003132,0.0003204345703125
